date,close,daily change,daily change pct,high to date,off from high,buy,shares bought,shares owned,cash spend,cash balance,market value,current gain
1979-01-22,99.9,0.15,0.15,120.24,-16.92,True,1,12783,-99.9,-582343.07,1277021.7,694678.63
1979-01-23,100.6,0.7,0.7,120.24,-16.33,True,1,12784,-100.6,-582443.67,1286070.4,703626.73
1979-01-24,100.16,-0.44,-0.44,120.24,-16.7,True,1,12785,-100.16,-582543.83,1280545.6,698001.77
1979-01-25,101.19,1.03,1.03,120.24,-15.84,True,1,12786,-101.19,-582645.02,1293815.34,711170.32
1979-01-26,101.86,0.67,0.66,120.24,-15.29,True,1,12787,-101.86,-582746.88,1302483.82,719736.94
1979-01-29,101.55,-0.31,-0.3,120.24,-15.54,True,1,12788,-101.55,-582848.43,1298621.4,715772.97
1979-01-30,101.05,-0.5,-0.49,120.24,-15.96,True,1,12789,-101.05,-582949.48,1292328.45,709378.97
1979-01-31,99.93,-1.12,-1.11,120.24,-16.89,True,1,12790,-99.93,-583049.41,1278104.7,695055.29
1979-02-01,99.96,0.03,0.03,120.24,-16.87,True,1,12791,-99.96,-583149.37,1278588.36,695438.99
1979-02-02,99.5,-0.46,-0.46,120.24,-17.25,True,1,12792,-99.5,-583248.87,1272804.0,689555.13
1979-02-05,98.09,-1.41,-1.42,120.24,-18.42,True,1,12793,-98.09,-583346.96,1254865.37,671518.41
1979-02-06,98.05,-0.04,-0.04,120.24,-18.45,True,1,12794,-98.05,-583445.01,1254451.7,671006.69
1979-02-07,97.16,-0.89,-0.91,120.24,-19.2,True,1,12795,-97.16,-583542.17,1243162.2,659620.03
1979-02-08,97.65,0.49,0.5,120.24,-18.79,True,1,12796,-97.65,-583639.82,1249529.4,665889.58
1979-02-09,97.87,0.22,0.22,120.24,-18.6,True,1,12797,-97.87,-583737.69,1252442.39,668704.7
1979-02-12,98.2,0.33,0.34,120.24,-18.33,True,1,12798,-98.2,-583835.89,1256763.6,672927.71
1979-02-13,98.93,0.73,0.74,120.24,-17.72,True,1,12799,-98.93,-583934.82,1266205.07,682270.25
1979-02-14,98.87,-0.06,-0.06,120.24,-17.77,True,1,12800,-98.87,-584033.69,1265536.0,681502.31
1979-02-15,98.73,-0.14,-0.14,120.24,-17.89,True,1,12801,-98.73,-584132.42,1263842.73,679710.31
1979-02-16,98.67,-0.06,-0.06,120.24,-17.94,True,1,12802,-98.67,-584231.09,1263173.34,678942.25
1979-02-20,99.42,0.75,0.76,120.24,-17.32,True,1,12803,-99.42,-584330.51,1272874.26,688543.75
1979-02-21,99.07,-0.35,-0.35,120.24,-17.61,True,1,12804,-99.07,-584429.58,1268492.28,684062.7
1979-02-22,98.33,-0.74,-0.75,120.24,-18.22,True,1,12805,-98.33,-584527.91,1259115.65,674587.74
1979-02-23,97.78,-0.55,-0.56,120.24,-18.68,True,1,12806,-97.78,-584625.69,1252170.68,667544.99
1979-02-26,97.67,-0.11,-0.11,120.24,-18.77,True,1,12807,-97.67,-584723.36,1250859.69,666136.33
1979-02-27,96.13,-1.54,-1.58,120.24,-20.05,True,1,12808,-96.13,-584819.49,1231233.04,646413.55
1979-02-28,96.28,0.15,0.16,120.24,-19.93,True,1,12809,-96.28,-584915.77,1233250.52,648334.75
1979-03-01,96.9,0.62,0.64,120.24,-19.41,True,1,12810,-96.9,-585012.67,1241289.0,656276.33
1979-03-02,96.97,0.07,0.07,120.24,-19.35,True,1,12811,-96.97,-585109.64,1242282.67,657173.03
1979-03-05,98.06,1.09,1.12,120.24,-18.45,True,1,12812,-98.06,-585207.7,1256344.72,671137.02
1979-03-06,97.87,-0.19,-0.19,120.24,-18.6,True,1,12813,-97.87,-585305.57,1254008.31,668702.74
