,high date,high close,next high date,next high close,date diff,close diff,close diff (%)
21438,2013-05-14,1650.339966,2013-05-15,1658.780029,1.0,8.44,0.511
21439,2013-05-15,1658.780029,2013-05-17,1667.469971,2.0,8.69,0.524
21441,2013-05-17,1667.469971,2013-05-21,1669.160034,4.0,1.69,0.101
21443,2013-05-21,1669.160034,2013-07-11,1675.02002,51.0,5.86,0.351
21478,2013-07-11,1675.02002,2013-07-12,1680.189941,1.0,5.17,0.309
21479,2013-07-12,1680.189941,2013-07-15,1682.5,3.0,2.31,0.137
21480,2013-07-15,1682.5,2013-07-18,1689.369995,3.0,6.87,0.408
21483,2013-07-18,1689.369995,2013-07-19,1692.089966,1.0,2.72,0.161
21484,2013-07-19,1692.089966,2013-07-22,1695.530029,3.0,3.44,0.203
21485,2013-07-22,1695.530029,2013-08-01,1706.869995,10.0,11.34,0.669
21493,2013-08-01,1706.869995,2013-08-02,1709.6700440000006,1.0,2.8,0.164
21494,2013-08-02,1709.6700440000006,2013-09-18,1725.52002,47.0,15.85,0.927
21526,2013-09-18,1725.52002,2013-10-17,1733.1500239999998,29.0,7.63,0.442
21547,2013-10-17,1733.1500239999998,2013-10-18,1744.5,1.0,11.35,0.655
21548,2013-10-18,1744.5,2013-10-21,1744.660034,3.0,0.16,0.009
21549,2013-10-21,1744.660034,2013-10-22,1754.6700440000006,1.0,10.01,0.574
21550,2013-10-22,1754.6700440000006,2013-10-25,1759.77002,3.0,5.1,0.291
21553,2013-10-25,1759.77002,2013-10-28,1762.109985,3.0,2.34,0.133
21554,2013-10-28,1762.109985,2013-10-29,1771.949951,1.0,9.84,0.558
21555,2013-10-29,1771.949951,2013-11-13,1782.0,15.0,10.05,0.567
21566,2013-11-13,1782.0,2013-11-14,1790.619995,1.0,8.62,0.484
21567,2013-11-14,1790.619995,2013-11-15,1798.180054,1.0,7.56,0.422
21568,2013-11-15,1798.180054,2013-11-22,1804.7600100000002,7.0,6.58,0.366
21573,2013-11-22,1804.7600100000002,2013-11-27,1807.22998,5.0,2.47,0.137
21576,2013-11-27,1807.22998,2013-12-09,1808.369995,12.0,1.14,0.063
21583,2013-12-09,1808.369995,2013-12-18,1810.6500239999998,9.0,2.28,0.126
21590,2013-12-18,1810.6500239999998,2013-12-20,1818.319946,2.0,7.67,0.424
21592,2013-12-20,1818.319946,2013-12-23,1827.9899899999998,3.0,9.67,0.532
21593,2013-12-23,1827.9899899999998,2013-12-24,1833.319946,1.0,5.33,0.292
21594,2013-12-24,1833.319946,2013-12-26,1842.02002,2.0,8.7,0.475
21595,2013-12-26,1842.02002,2013-12-31,1848.359985,5.0,6.34,0.344
21598,2013-12-31,1848.359985,2014-01-15,1848.380005,15.0,0.02,0.001
21608,2014-01-15,1848.380005,2014-02-27,1854.290039,43.0,5.91,0.32
21637,2014-02-27,1854.290039,2014-02-28,1859.449951,1.0,5.16,0.278
21638,2014-02-28,1859.449951,2014-03-04,1873.910034,4.0,14.46,0.778
21640,2014-03-04,1873.910034,2014-03-06,1877.030029,2.0,3.12,0.166
21642,2014-03-06,1877.030029,2014-03-07,1878.040039,1.0,1.01,0.054
21643,2014-03-07,1878.040039,2014-04-01,1885.52002,25.0,7.48,0.398
21660,2014-04-01,1885.52002,2014-04-02,1890.9000239999998,1.0,5.38,0.285
21661,2014-04-02,1890.9000239999998,2014-05-12,1896.6500239999998,40.0,5.75,0.304
21688,2014-05-12,1896.6500239999998,2014-05-13,1897.449951,1.0,0.8,0.042
21689,2014-05-13,1897.449951,2014-05-23,1900.530029,10.0,3.08,0.162
21697,2014-05-23,1900.530029,2014-05-27,1911.910034,4.0,11.38,0.599
21698,2014-05-27,1911.910034,2014-05-29,1920.030029,2.0,8.12,0.425
21700,2014-05-29,1920.030029,2014-05-30,1923.569946,1.0,3.54,0.184
21701,2014-05-30,1923.569946,2014-06-02,1924.969971,3.0,1.4,0.073
21702,2014-06-02,1924.969971,2014-06-04,1927.880005,2.0,2.91,0.151
21704,2014-06-04,1927.880005,2014-06-05,1940.459961,1.0,12.58,0.653
21705,2014-06-05,1940.459961,2014-06-06,1949.439941,1.0,8.98,0.463
21706,2014-06-06,1949.439941,2014-06-09,1951.27002,3.0,1.83,0.094
21707,2014-06-09,1951.27002,2014-06-18,1956.97998,9.0,5.71,0.293
21714,2014-06-18,1956.97998,2014-06-19,1959.47998,1.0,2.5,0.128
21715,2014-06-19,1959.47998,2014-06-20,1962.869995,1.0,3.39,0.173
21716,2014-06-20,1962.869995,2014-07-01,1973.319946,11.0,10.45,0.532
21723,2014-07-01,1973.319946,2014-07-02,1974.619995,1.0,1.3,0.066
21724,2014-07-02,1974.619995,2014-07-03,1985.439941,1.0,10.82,0.548
21725,2014-07-03,1985.439941,2014-07-23,1987.0100100000002,20.0,1.57,0.079
21738,2014-07-23,1987.0100100000002,2014-07-24,1987.97998,1.0,0.97,0.049
21739,2014-07-24,1987.97998,2014-08-21,1992.369995,28.0,4.39,0.221
21759,2014-08-21,1992.369995,2014-08-25,1997.9200440000002,4.0,5.55,0.279
21761,2014-08-25,1997.9200440000002,2014-08-26,2000.02002,1.0,2.1,0.105
21762,2014-08-26,2000.02002,2014-08-27,2000.119995,1.0,0.1,0.005
21763,2014-08-27,2000.119995,2014-08-29,2003.369995,2.0,3.25,0.162
21765,2014-08-29,2003.369995,2014-09-05,2007.709961,7.0,4.34,0.217
21769,2014-09-05,2007.709961,2014-09-18,2011.359985,13.0,3.65,0.182
21778,2014-09-18,2011.359985,2014-10-31,2018.050049,43.0,6.69,0.333
21809,2014-10-31,2018.050049,2014-11-05,2023.569946,5.0,5.52,0.274
21812,2014-11-05,2023.569946,2014-11-06,2031.209961,1.0,7.64,0.378
21813,2014-11-06,2031.209961,2014-11-07,2031.9200440000002,1.0,0.71,0.035
21814,2014-11-07,2031.9200440000002,2014-11-10,2038.2600100000002,3.0,6.34,0.312
21815,2014-11-10,2038.2600100000002,2014-11-11,2039.680054,1.0,1.42,0.07
21816,2014-11-11,2039.680054,2014-11-14,2039.819946,3.0,0.14,0.007
21819,2014-11-14,2039.819946,2014-11-17,2041.319946,3.0,1.5,0.074
21820,2014-11-17,2041.319946,2014-11-18,2051.800049,1.0,10.48,0.513
21821,2014-11-18,2051.800049,2014-11-20,2052.75,2.0,0.95,0.046
21823,2014-11-20,2052.75,2014-11-21,2063.5,1.0,10.75,0.524
21824,2014-11-21,2063.5,2014-11-24,2069.409912,3.0,5.91,0.286
21825,2014-11-24,2069.409912,2014-11-26,2072.830078,2.0,3.42,0.165
21827,2014-11-26,2072.830078,2014-12-03,2074.330078,7.0,1.5,0.072
21831,2014-12-03,2074.330078,2014-12-05,2075.3701170000004,2.0,1.04,0.05
21833,2014-12-05,2075.3701170000004,2014-12-22,2078.540039,17.0,3.17,0.153
21844,2014-12-22,2078.540039,2014-12-23,2082.169922,1.0,3.63,0.175
21845,2014-12-23,2082.169922,2014-12-26,2088.77002,3.0,6.6,0.317
21847,2014-12-26,2088.77002,2014-12-29,2090.570068,3.0,1.8,0.086
21848,2014-12-29,2090.570068,2015-02-13,2096.98999,46.0,6.42,0.307
21880,2015-02-13,2096.98999,2015-02-17,2100.340088,4.0,3.35,0.16
21881,2015-02-17,2100.340088,2015-02-20,2110.300049,3.0,9.96,0.474
21884,2015-02-20,2110.300049,2015-02-24,2115.47998,4.0,5.18,0.245
21886,2015-02-24,2115.47998,2015-03-02,2117.389893,6.0,1.91,0.09
21890,2015-03-02,2117.389893,2015-04-24,2117.689941,53.0,0.3,0.014
