time interval,start year,end year,"start, end month",start price,end price,return (%),annual return (%)
38,1940,1978,6,9.11,97.349998,968.6059055982437,6.43247136000431
38,1940,1978,7,9.87,95.089996,863.4244782168187,6.142653092949524
38,1940,1978,8,10.26,100.660004,881.091656920078,6.1934231655320415
38,1940,1978,9,10.56,103.68,881.8181818181819,6.195491869845293
38,1940,1978,10,10.81,102.959999,852.4514246068454,6.110661508061255
38,1940,1978,11,11.08,96.849998,774.0974548736463,5.87121348312698
38,1940,1978,12,10.62,96.279999,806.591327683616,5.972954142230202
38,1941,1979,1,10.48,96.730003,822.996211832061,6.022977810481622
38,1941,1979,2,9.96,99.959999,903.6144477911645,6.256871228884986
38,1941,1979,3,9.77,96.900002,891.8116888433982,6.223797072969339
38,1941,1979,4,9.97,100.900002,912.0361283851555,6.280240072453447
38,1941,1979,5,9.3,101.68,993.3333333333334,6.496563632802643
38,1941,1979,6,9.36,99.16999799999999,959.5085256410256,6.408527415781573
38,1941,1979,7,9.82,101.989998,938.5946843177189,6.352715072567161
38,1941,1979,8,10.34,104.16999799999999,907.4467891682784,6.267528956607626
38,1941,1979,9,10.34,107.440002,939.0715860735011,6.353999917581055
38,1941,1979,10,10.17,108.559998,967.4532743362831,6.429448684444794
38,1941,1979,11,9.59,102.57,969.5516162669447,6.434949034326909
38,1941,1979,12,9.07,105.83000200000001,1066.8136934950387,6.679012601157819
38,1942,1980,1,8.89,105.760002,1089.6513160854893,6.733442766077857
38,1942,1980,2,8.84,115.120003,1202.2624773755656,6.987778960818791
38,1942,1980,3,8.47,112.5,1228.2172373081464,7.043355244176452
38,1942,1980,4,8.05,102.18,1169.3167701863354,6.915658775230149
38,1942,1980,5,7.71,105.459999,1267.8339688715953,7.126179175653746
38,1942,1980,6,8.19,110.760002,1252.380976800977,7.0941540293981475
38,1942,1980,7,8.23,114.93,1296.4763061968408,7.184617486361433
38,1942,1980,8,8.57,121.209999,1314.3523803967328,7.220501017638692
38,1942,1980,9,8.62,123.739998,1335.4988167053366,7.262383461470412
38,1942,1980,10,8.92,127.129997,1325.2241816143498,7.242109189813628
38,1942,1980,11,9.48,129.03999299999998,1261.1813607594934,7.112435560665076
38,1942,1980,12,9.28,137.21000700000002,1378.5561099137935,7.345836726691468
38,1943,1981,1,9.92,136.33999599999999,1274.3951209677418,7.139670250767072
38,1943,1981,2,10.52,126.910004,1106.3688593155894,6.772645440330072
38,1943,1981,3,10.92,132.009995,1108.882738095238,6.778494693357384
38,1943,1981,4,11.59,136.570007,1078.3434598792062,6.706620517655004
38,1943,1981,5,11.82,132.720001,1022.8426480541455,6.571228232322279
38,1943,1981,6,12.18,132.41000400000001,987.110049261084,6.480567118266389
38,1943,1981,7,12.36,129.770004,949.9191262135923,6.383070801428525
38,1943,1981,8,11.47,130.479996,1037.5762510897994,6.607795040414355
38,1943,1981,9,11.84,123.019997,939.0202449324324,6.353861624412738
38,1943,1981,10,12.09,117.08000200000001,868.4036559139786,6.157052874248259
38,1943,1981,11,11.92,124.199997,941.9462835570469,6.361732643736473
38,1943,1981,12,11.13,126.099998,1032.973926325247,6.596422461821083
38,1944,1982,1,11.66,122.739998,952.6586449399657,6.3903663216064555
38,1944,1982,2,11.83,117.779999,895.6043871513102,6.234466720129861
38,1944,1982,3,11.87,113.309998,854.5913900589723,6.116928580964576
38,1944,1982,4,11.96,113.790001,851.4214130434782,6.107640141330206
38,1944,1982,5,11.96,116.82,876.7558528428092,6.181046313289773
